id,datas,url
38,二维动画制作MG飞碟说企业flash广告app漫医疗设计,服务内容全部包含:服务内容全部包含:我们提供的服务主要是二维动画其包含了：MG动画手绘动画逐帧动画。服务范围：MG动画，飞碟说动画，剧情动画，广告动画，手绘动画，逐帧动画，产品演示动画动画的费用和价格，需要提前和客服沟通具体风格和时间长短定价。服务优势:服务优势:锐朗是专业的二维动画供应商，有着20余位专业设计师，保证您的出品品质。制作流程包含前期：脚本策划中期：人物绘制、场景绘制、道具绘制、分镜制作后期：配音、音效、合成售后：修改、调整、维护服务前需客户提供的信息:服务前需客户提供的信息:1.提供制作动画的参考图片和参考样片2.提供制作动画的相关文案资料请您提供详细资料（请以word、ppt等文档形式体现）、对接人员。详细信息您可咨询客服。其他:关于退款:我们原则上雇主得到一款称心如竟的作品，如果因为某种原因终止项目并目退款，我方会与库主沟通,在保持友好沟通基础上协商退款。如果初稿已出,雇主拒绝修改,需要退款,退款比例为项目总费用的50%。初稿后，如果继续修改，雇主需要退款，退款比例为项目总费用的 40%。如果修改三稿或者三稿以上要求退款,退款比例为项目总费用的 20%。退款后甲方无任何权益
39,MG动画制作三维产品3D手绘AE动画flash广告视频,服务内容全部包含:创立方文化传媒本部坐落于江苏省南京市，立足于猪八戒网下设多个城市分部，服务全中国。创立方成立于2012年，始终秉承【创异、创意、创益】的理念，为企业在品牌设计策划、影视动画制作、公装设计及知识产权等方面提供服务，为企业量身定制品牌体系。创立方始终奉行【诚信求实、致力服务】的企业宗旨全力跟随客户需求，不断进行产品创新和服务改进，为各位新老客户提供优质的服务！！！服务优势:创立方文化传媒本部坐落于江苏省南京市，立足于猪八戒网下设多个城市分部，服务全中国。创立方成立于2012年，始终秉承【创异、创意、创益】的理念，为企业在品牌设计策划、影视动画制作、公装设计及知识产权等方面提供服务，为企业量身定制品牌体系。创立方始终奉行【诚信求实、致力服务】的企业宗旨全力跟随客户需求，不断进行产品创新和服务改进，为各位新老客户提供优质的服务！！！服务前需客户提供的信息:创立方文化传媒本部坐落于江苏省南京市，立足于猪八戒网下设多个城市分部，服务全中国。创立方成立于2012年，始终秉承【创异、创意、创益】的理念，为企业在品牌设计策划、影视动画制作、公装设计及知识产权等方面提供服务，为企业量身定制品牌体系。创立方始终奉行【诚信求实、致力服务】的企业宗旨全力跟随客户需求，不断进行产品创新和服务改进，为各位新老客户提供优质的服务！！！
40,MG二维逐帧flash动画广告视频制作后期*,服务内容全部包含:优恳科技有限公司是一家致力于，UI设计，游戏美术，网站与移动互联网应用产品开发的综合创新型公司，优恳团队成立于07年，优恳在八戒平台运营14年，凭借实力连续多年获奖，优恳为国内企业如中国电信，腾讯，三星电子，施耐德，国家电网等长期服务。优恳分工明确，有完整成熟科学的设计、研发、售后服务体系，我们在实践中不断学习探索，时刻与行业前沿技术同步，为客户打造高水平的服务是我们的宗旨。服务优势:优恳秉承体验设计与服务设计的理念，交付高质量ui视觉服务：❶ 移动端ui设计 ❷软件界面设计 ❸游戏ui设计 ❹ 网页设计 ❺产品策划与咨询业务咨询通过右侧：✔在线IM.✔隐私电话，✔企业微信 ，免费咨询，诚挚期待与您合作。项目完结提交内容（根据项目需求而定）：❶ 整体ui界面设计效果图❷png切图或蓝湖上传❸psd，Sketch、Figma（其中之一）优恳诚挚期待与您合作！服务前需客户提供的信息:1.整体需求介绍和描述，方便我们了解项目背景行业基本的信息，方便快速准确分析理解需求。2.提供需求文档，版本框架，需求策划，同类型参考案例，交互原型，手绘草图等。3.提供相关的资料，如vi系统，产品相关宣传册，宣传视频，照片图片资料，3d模型等以上为列出的需求资料，按照客户情况，尽可能能多提供，会提高沟通效率，降低沟通成本，得到准确的价格时间，或者初步的方案方向。其他:提醒：其他客户关心问题请查阅下面【常见问题】！
41,三维3D产品机械科普施工安全工业裸眼3D器械动画制作设计,服务内容全部包含:五星服务商 超五星服务【宣传片】 【动画片】 【广告片】 宣传片：企业宣传片、产品宣传片、品牌宣传片、城市类宣传片等，一站式优质服务。动画片：动画创意、动画艺术风格，色彩搭配等影像支持，专业设备人员。广告片：互联网营销视频、病毒视频、网红短片，新颖玩法，裂变传播。服务优势:【品牌优势】全国多地直营公司，粤企文化产业领域代表企业，企业视频服务领域的著名影视制作品牌。【制作优势】团队自有，拒绝“搭班子”；设备自有，无需外借；多地拥有自营二维、三维制作团队及超1000m²影视制作基地。【服务优势】零距离服务，互联网+影视制作模式；价格：本土价格，超五星服务；优质：品质保证，自有团队；“一站式”全流程五星服务，为客户提供量身定制的影视解决方案。服务前需客户提供的信息:【简单5步 轻松搞定】 1.项目的文稿资料或图片资料2.对影片的初步构思想法或框架文案3.如有解说词脚本更好4.对标参考竞品信息及视频质量要求 5.预算控制范围
42,MG二维动画三维AE手绘动漫形象设计企业产品宣传视频制作,服务内容全部包含:海象于2012年正式组建，以重庆为总部，拥有影视品牌全案中心。企业员工毕业于浙江传媒大学、重庆大学，西南政法大学，重庆邮电大学、吉林动画大学等国内外学府。旗下拥有“品牌运营”“影视制作”“动画动漫”“视觉设计”四大事业部，共计7大类超过50项产品服务。我们的客户遍布全球数十个国家和地区，现已服务包括腾讯、阿里、华为、海尔、万达集团等200多家上市企业。服务优势:1.品牌：上市公司供应商2.口碑：3000＋99%满意度3.服务：提供完善的售后服务体系4.硬件：电影级影视制作全套设备5.创意：构建创意星球社区，集合2000＋创意方案6.模式：“影视＋中央厨房”创作系统7.标准：打造工业化、数字化的15项标准制作流程8.文化：记录中国非遗文化，传播中华民族精神内核服务前需客户提供的信息:客户需求描述和具体要求，动画风格、时长、规格、使用场景、以及预算等。客户需求描述和具体要求，动画风格、时长、规格、使用场景、以及预算等。其他:服务流程：需求沟通-确定商务合作-托管赏金-建立项目组-创意策划-文案撰写-素材摄制-后期制作-交付样片-调整完善-品控审核-交付成片
43,二维科普手绘MG动漫AE逐帧产品flash动画制作设计,服务内容全部包含:五星服务商 超五星服务【宣传片】 【动画片】 【广告片】 宣传片：企业宣传片、产品宣传片、品牌宣传片、城市类宣传片等，一站式优质服务。动画片：动画创意、动画艺术风格，色彩搭配等影像支持，专业设备人员。广告片：互联网营销视频、病毒视频、网红短片，新颖玩法，裂变传播。服务优势:【品牌优势】全国多地直营公司，粤企文化产业领域代表企业，企业视频服务领域的著名影视制作品牌。【制作优势】团队自有，拒绝“搭班子”；设备自有，无需外借；多地拥有自营二维、三维制作团队及超1000m²影视制作基地。【服务优势】零距离服务，互联网+影视制作模式；价格：本土价格，超五星服务；优质：品质保证，自有团队；“一站式”全流程五星服务，为客户提供量身定制的影视解决方案。服务前需客户提供的信息:【简单5步 轻松搞定】 1.项目的文稿资料或图片资料2.对影片的初步构思想法或框架文案3.如有解说词脚本更好4.对标参考竞品信息及视频质量要求 5.预算控制范围
44,二维AE三维3D建模特效动画设计制作片头产品演示流程,服务内容全部包含:海象于2012年正式组建，以重庆为总部，拥有影视品牌全案中心。企业员工毕业于浙江传媒大学、重庆大学，西南政法大学，重庆邮电大学、吉林动画大学等国内外学府。旗下拥有“品牌运营”“影视制作”“动画动漫”“视觉设计”四大事业部，共计7大类超过50项产品服务。我们的客户遍布全球数十个国家和地区，现已服务包括腾讯、阿里、华为、海尔、万达集团等200多家上市企业。服务优势:1.品牌：上市公司供应商2.口碑：3000＋99%满意度3.服务：提供完善的售后服务体系4.硬件：电影级影视制作全套设备5.创意：构建创意星球社区，集合2000＋创意方案6.模式：“影视＋中央厨房”创作系统7.标准：打造工业化、数字化的15项标准制作流程8.文化：记录中国非遗文化，传播中华民族精神内核服务前需客户提供的信息:客户相关资料和信息其他:服务流程：需求沟通-确定商务合作-托管赏金-建立项目组-创意策划-文案撰写-素材摄制-后期制作-交付样片-调整完善-品控审核-交付成片
45,MG动画二三维AE3D企业产品宣传片头fiash设计定,服务内容全部包含:想让 鲜明彰显品牌个性？想让 在众多竞品中抢占顾客注意力？想让 被消费者快速记忆并高效识别？想让 具有抢眼的视觉符号？具体需求请点击在线咨询，24小时为您解答。服务优势:睿辰创意设计致力于包装设计、 企业吉祥物、卡通形象设计、动漫周边、MG动画设计、三维动漫设计、插画设计、LOGO、画册设计、VIS设计、、电商视觉效果图等多领域的研究与实践。 为近千家企业提供了优质的服务并得到一致好评。 多年的设计积累了丰富的设计经验和电商行业运营的洞察力。 睿辰坚持 ” 用心创造价值 ” 的理念，结合客户的需求，从优质的服务和完美的质量出发服务前需客户提供的信息:1、为保证设计工作进展顺利，需要您将需求以文字形式表述清楚，如有喜欢的样式可一并发送给我们，我们将根据您的喜好进行设计； 2、请您提供公司logo源文件、标准vi应用（如有）、设计内容的详细资料（请以word、ppt等文档形式体现）、对接人员。详细信息您可咨询客服。
46,二维AE手绘MG三维3D企业产品动画制作动漫年会动画设计,服务内容全部包含:小二郎文化传媒旗下拥有“ 品牌策划运营”“影视拍摄制作”“动画动漫创作” “美术视觉设计“四大业务板块，共计7大类超过50项产品服务，为企业提供贯穿品牌宣传推广全生命周期的内容制作解决方案。我们的客户遍布全球数十个国家和地区，覆盖超过30个细分行业领域，9000＋服务经验，现已服务包括腾讯、阿里、华为、海尔、万达集团等200多家上市企业，40多家世界500强。我们的客服24小时在线，欢迎咨询~服务优势:1.品牌：上市公司供应商2.口碑：3000＋99%满意度3.服务：提供完善的售后服务体系4.硬件：电影级影视制作全套设备5.创意：构建创意星球社区，集合2000＋创意方案6.模式：“影视＋中央厨房”创作系统7.标准：打造工业化、数字化的15项标准制作流程8.文化：记录中国非遗文化，传播中华民族精神内核服务前需客户提供的信息:客户需要提供动画的ip形象、场景、动画时长等基础信息、基础文案内容、参考风格类型、案例视频基础文案内容、参考风格类型、案例视频，最好提供清晰的动画预算、我们可以根据不同的风格类型进行最大化的发挥，达到客户想要的效果。客户需要提供动画的ip形象、场景、动画时长等基础信息、基础文案内容、参考风格类型、案例视频基础文案内容、参考风格类型、案例视频，最好提供清晰的动画预算、我们可以根据不同的风格类型进行最其他:服务流程：需求沟通-确定商务合作-托管赏金-建立项目组-创意策划-文案撰写-素材摄制-后期制作-交付样片-调整完善-品控审核-交付成片
47,3D工业产品机械企业三维动画视频制作,服务内容全部包含:想让 鲜明彰显品牌个性？想让 在众多竞品中抢占顾客注意力？想让 被消费者快速记忆并高效识别？想让 具有抢眼的视觉符号？具体需求请点击在线咨询，24小时为您解答。服务优势:睿辰创意设计致力于IP设计、 企业吉祥物、卡通形象设计、动漫周边、MG动画设计、三维动漫设计、插画设计、LOGO、画册设计、VIS设计、包装设计、电商视觉效果图等多领域的研究与实践。 为近千家企业提供了优质的服务并得到一致好评。 多年的设计积累了丰富的设计经验和电商行业运营的洞察力。 睿辰坚持 ” 用心创造价值 ” 的理念，结合客户的需求，从优质的服务和完美的质量出发。服务前需客户提供的信息:1、为保证设计工作进展顺利，需要您将需求以文字形式表述清楚，如有喜欢的样式可一并发送给我们，我们将根据您的喜好进行设计； 2、请您提供公司logo源文件、标准vi应用（如有）、设计内容的详细资料（请以word、ppt等文档形式体现）、对接人员。详细信息您可咨询客服。
48,MG动画二维动画逐帧flash三维动画视频制作动画3D,服务内容全部包含:三维动画制作：3D产品宣传动画/虚拟IP动画/建筑动画/流程动画/特效动画/栏目包装/LOGO演绎二维动画制作：MG动画/逐帧动画/FLASH动画/AE包装动画/定格动画/LOGO演绎影视制作：企业宣传片/产品宣传片/TVC广告/短视频制作/纪录片/慕课制作展厅片源制作:VR动画/沉浸式折幕视频/全景视频/裸眼3D/全息投影/球幕/异形屏视频服务优势:云渊文化成立于2016年我们致力于将数码实拍+计算机3D技术服务到营销领域，帮助客户在线上线下创造更生动营销体验团队专注高端视频制作，拥有超过10000次服务经验与超过50家上市企业，事业机关单位形成良好的长期合作关系服务客户地域覆盖全中国及全球。我们专注于以创意助力商业，集三维动画、二维动画、文案撰写、平面设计互动推广于一体，为企业提供贯穿品牌全生命周期的“内容+传播”宣传方案。服务前需客户提供的信息:项目开始前会组织客户与我方相关人员一起参与需求沟通会以及相关企业内容或产品内容的培训会议，充分理解完客户需求后，需要客户再次提供相关宣传内容的图文资料（资料包含但不限于：公司介绍PPT/公司官方网站链接/产品推介PPT/企业logo/企业vi手册/产品图片模型文件/邮寄产品实物等）以及会涉及到的相关产品数据。其他:物料提供如您有文案、解说词或者脚本请将文档发于项目经理，我们会有专业的策划老师进行评估工作。图片、视频素材等资料，请将素材命名标注并归纳到相应的文件夹中，方便我方后期同事进行素材挑选。如有企业的V1规范或者l0go请将AL、CDR等源文件发送于我们。在我们接到素材后发现某些素材的质量分辨率低，模糊。我方建议不使用该类素材，避免影响最终成品效果。
49,三维动画制作动画制作动漫游戏设计房地产政府工业汽车旅游博,服务内容全部包含:湾流视觉作为全国性的专业数字视觉综合服务供应商，立足于视觉科技与应用行业，专注于CG应用领域，以创意为核心、市场需求为导向，主要利用计算机图形图像技术进行视觉设计和创作，将CG技术与艺术相结合，依托长期积累的技术实力和前瞻性的创意设计能力，为建筑、设计、展馆、广告、动漫、影视、文体娱乐活动等行业的客户提供涵盖CG静态、CG动态、CG视觉场景业务的数字视觉综合服务。———————————————服务优势:湾流视觉拥有多年影视后期和三维动画制作经验，是一家集视频创意、策划、制作、传播 全流程统筹于一身的全案服务公司；公司旗下拥有上千人组成的富有才干和创 新思想的zhuan业团队，迄今已为150多所国内外设计院/公司、中国地产bai强企业、国内众多知名品牌提供定制化三维动画制作服务。服务前需客户提供的信息:公司植根于文化、文博、影视领域，一方面以影视技术为手段，为CCTV等各级媒体、企事业单位、政府部门制作纪录片、宣传片、微电影、短视频、动漫、广告等专业视频内容。 一方面以文化为底蕴，为各级博物院、考古所等科研单位制作纪录片、科普动漫片，策划设计展览空间、科普绘本、文创衍生品等。其他:服务客户：作业帮、博彦科技、今日头条、高途、绫致时装、联想（北京）、猪八戒网、小米、特斯拉、百度在线、腾讯、西贝餐饮集团、同仁堂健康、新东方、物美集团、好未来、富士康、理想汽车、快手、尚德机构……
50,宣传片产品三维动画MG动画3d动画二维动画制作三维设计,服务内容全部包含:三维动画制作：3D产品宣传动画/虚拟IP动画/建筑动画/流程动画/特效动画/栏目包装/LOGO演绎二维动画制作：MG动画/逐帧动画/FLASH动画/AE包装动画/定格动画/LOGO演绎影视制作：企业宣传片/产品宣传片/TVC广告/短视频制作/纪录片/慕课制作展厅片源制作:VR动画/沉浸式折幕视频/全景视频/裸眼3D/全息投影/球幕/异形屏视频服务优势:云渊文化成立于2016年我们致力于将数码实拍+计算机3D技术服务到营销领域，帮助客户在线上线下创造更生动营销体验团队专注高端视频制作，拥有超过10000次服务经验与超过50家上市企业，事业机关单位形成良好的长期合作关系服务客户地域覆盖全中国及全球。我们专注于以创意助力商业，集三维动画、二维动画、文案撰写、平面设计互动推广于一体，为企业提供贯穿品牌全生命周期的“内容+传播”宣传方案。服务前需客户提供的信息:项目开始前会组织客户与我方相关人员一起参与需求沟通会以及相关企业内容或产品内容的培训会议，充分理解完客户需求后，需要客户再次提供相关宣传内容的图文资料（资料包含但不限于：公司介绍PPT/公司官方网站链接/产品推介PPT/企业logo/企业vi手册/产品图片模型文件/邮寄产品实物等）以及会涉及到的相关产品数据。其他:物料提供如您有文案、解说词或者脚本请将文档发于项目经理，我们会有专业的策划老师进行评估工作。图片、视频素材等资料，请将素材命名标注并归纳到相应的文件夹中，方便我方后期同事进行素材挑选。如有企业的V1规范或者l0go请将AL、CDR等源文件发送于我们。在我们接到素材后发现某些素材的质量分辨率低，模糊。我方建议不使用该类素材，避免影响最终成品效果。
51,3D产品机械建筑模器械生产线原理医学演绎演示三维动画视频,服务内容全部包含:【二维动画】 【三维动画】1、品牌推广 1、产品演示推广2、产品宣传 2、生产工艺3、活动开场 3、工业流程4、流程讲解 4、医疗设备5、政策科普 5、工程施工6、电商营销 6、片头演绎7、教育课件 7、机器机械演示服务优势:每个梦想，鼎力相助！ 易扬设计提供专业的动画设计，UI设计，游戏美术设计，品牌设计，空间设计，3D建模，产品外观设计。服务8年，服务企业超过1000家，秉承以互联网传播思维，切实为客户带来设计商业价值。 合作客户包含腾讯、中国石油、电网、交通银行、北京银行、深圳海关、中科院、同花顺、知识产权出版社、华润、华夏航空、海尔集团、吉比特、川仪股份等大中小企业。团队设计师平均5年以上工作经。服务前需客户提供的信息:1 提供产品或企业资料信息，后期用途。2 需要您明确视频需要做多长时间，几分钟；3 如果需要旁白/解说词，如果无法提供，可以简单提供解说文稿或我们根据您提供的资料进行撰写，也可以根据您提供的解说词进行润泽拔高；4 尺寸一般情况下高清尺寸，如果您有特殊要求，可以说明；5 初步沟通后，我们会专门为您列举该合作所需要的前期资料表发您。
52,mg动画制作flash二维动画设计手绘动画视频制作宣传片,服务内容全部包含:【二维动画】|【影视制作】 | 【三维动画】1、品牌推广 | 1、企业宣传 | 1、产品推广2、产品宣传 | 2、产品广告 | 2、品牌形象3、活动开场 | 3、政府汇报 | 3、工业流程4、流程讲解 | 4、专题记录 | 4、医疗设备5、政策科普 | 5、活动暖场 | 5、片头演绎6、教育课件 |6、剪辑合成 | 6、展厅折幕服务优势:公司介绍：观今动漫从事动画设计十余年有着丰富的动画设计经验和不计其数优秀的动画作品；我们的员工均科班毕业，人均实战超百余项目；我们服务过的客户超30000余位，服务过的城市超300余个。我们已与滴滴、腾讯、爱奇艺、大众点评、中国移动、中国建设银行、中国银行、中国邮政、中国平安、携程旅游、大众点评、顺丰速递、周大福珠宝等客户达成深度合作。服务前需客户提供的信息:【1提供项目制作需要的相关文档】【2有文案解说词提供文案解说词】 【3改动画使用的场景及针对人群】【4项目的对标参考样片及预期】【5领导要求及期望效果】【注意】因广告宣传属于定制化方案，各行业之间所需资料大不相同，具体可联系本店客服进一步咨询其他:合作流程：前期需求沟通-确定商务合作-托管赏金-建立项目组-创意策划-文案撰写-分镜制作\动画小样-动画制作-交付样片-调整完善-品控审核-交付成片
53,二三维动画制作3d动画mg动画教育科普动画宣传片制作,服务内容全部包含:服务范围：产品动画、角色动画、建筑动画、工业动画、全息裸眼3D等服务优势：1、高效设计：全流程为您保证设计服务2、量身定制：针对您的需求进行设计，符合你的设计要求价格说明：1、我们有各种价位的案例可供选择，满足您的各种预期2、我们致力于提供性价比高的设计服务服务优势:公司介绍：观今动漫从事动画设计十余年有着丰富的动画设计经验和不计其数优秀的动画作品；我们的员工均科班毕业，人均实战超百余项目；我们服务过的客户超30000余位，服务过的城市超300余个。我们已与滴滴、腾讯、爱奇艺、大众点评、中国移动、中国建设银行、中国银行、中国邮政、中国平安、携程旅游、大众点评、顺丰速递、周大福珠宝等客户达成深度合作。服务前需客户提供的信息:【1提供项目制作需要的相关文档】【2有文案解说词提供文案解说词】【3改动画使用的场景及针对人群】【4项目的对标参考样片及预期】【5领导要求及期望效果】【注意】因广告宣传属于定制化方案，各行业之间所需资料大不相同，具体可联系本店客服进一步咨询其他:合作流程：前期需求沟通-确定商务合作-托管赏金-建立项目组-创意策划-文案撰写-分镜制作\动画小样-动画制作-交付样片-调整完善-品控审核-交付成片
54,二维AE三维MG3D动画宣传片拍摄剪辑定制企业产品牌视频,服务内容全部包含:亦北品牌设计是一家集品牌全案设计，产品设计，室内设计，软件培训为一体的全案的设计公司，我们致力于0到1，从logo设计，包装设计，ip设计，线上线下宣传物料等多领域的研究与实践。为近千家企业提供了good的服务并得到一致好评。多年的设计积累了丰富的设计经验和电商行业运营的洞察力。 公司坚持“用心创造价值”的理念，结合客户的需求，从good的服务和完美的质量出发，不断探索，不断实践，追求 very good，我们始终坚持用设计为客户解决问题，用设计为客户创造出品牌价值和商业价值。我们的服务范围：亦北设计有限公司专业服务打造 very good的企业形象，从品牌设计到产品研发，以及产品包装，电商运营，室内设计，景观设计等综合服务为一体的设计企业，坚持高质量的设计，一站式服务携手客户成为品牌的创造者。我们站在市场的角度，根据企业的品牌战略，创造出具有市场价值的设计作品。如果您也和我们一样，拥有把产品做到极致的“用心创造价值”的心态，拥有开创 very good品牌的心态，就来找我们，我们会竭尽全力为您创造属于您和您品牌的辉煌。我们的价格不一定是最低的，但是我们敢确保我们的服务态度和作品的质量是棒棒的，亦北设计相信今天的合作，就是明天你我的共赢！亦北设计针对合作过的客户，可以提供全年的设计任务，日常设计，作图中遇到的问题，免费解决。一次合作，就可以享受拥有自己设计公司的服务体验
55,动画制作场景设计三维特效场景建模3d动画片头动画产品动画,服务内容全部包含:影视制作：广告片、微电影、宣传片、专题片、纪录片、短视频、社交媒体视频、微课慕课、电商推广视频配音配乐、剪辑服务、场景搭建、画面校色、字幕添加、影视特效、片头片尾制作二维动画企业宣传、企业招聘、产品宣传、科普教育、工艺宣传、商业汇报、知识培训三维动画工程动画、机器动画、医学动画、系统原理动画、生产工艺动画、生产流程动画、影视动画、产品动画、城市漫游动画、建筑动画、展厅动画、裸眼3D服务优势:1. 知名各行业龙头企业服务经验 2. 主创团队来源于原央视纪录片频道3. 南京师范大学新传院教授坐镇指导4. 员工来源于国内知名艺术、传媒、戏剧类高校5. 项目组群实时沟通，在线交流反馈6. 流程化服务，严格把控进度与质量7. 可联动电视广告播出及媒体宣传推广服务前需客户提供的信息:1. 有关项目的文件文稿2. 有关项目的图片视频素材资料3. 对标参考样片及预期效果4. 项目预算与制作周期需求5. 使用场景及目标针对人群6. 所在行业的其他特殊需求其他:工作流程：咨询沟通——顾问跟进——项目组成立——文案创作——分镜脚本——勘景拍摄——样片制作——意见反馈——后期调整——品控审核——交付成片——售后跟踪
56,二维动画制作mg动画创意动画年会动画演示动画宣传婚礼课件,服务内容全部包含:湾流视觉作为全国性的专业数字视觉综合服务供应商，立足于视觉科技与应用行业，专注于CG应用领域，以创意为核心、市场需求为导向，主要利用计算机图形图像技术进行视觉设计和创作，将CG技术与艺术相结合，依托长期积累的技术实力和前瞻性的创意设计能力，为建筑、设计、展馆、广告、动漫、影视、文体娱乐活动等行业的客户提供涵盖CG静态、CG动态、CG视觉场景业务的数字视觉综合服务。服务优势:公司简介：公司植根于文化、文博、影视领域，一方面以影视技术为手段，为CCTV等各级媒体、企事业单位、政府部门制作纪录片、宣传片、微电影、短视频、动漫、广告等专业视频内容。 一方面以文化为底蕴，为各级博物院、考古所等科研单位制作纪录片、科普动漫片，策划设计展览空间、科普绘本、文创衍生品等。服务前需客户提供的信息:【前期沟通所需资料】①　提供项目所需要文档及资料。②　沟通项目的图片资料和解说词，乙方可以提供策划方案。③　使用场景及针对人群，解说脚本准备。④　对标参考样片及预期案例。⑤　评估预算费用及时间。⑥　公司领导验收期望结果。⑦　感谢您选择湾流动画店铺，在猪八戒平台下单。其他:服务客户：作业帮、博彦科技、今日头条、高途、绫致时装、联想（北京）、猪八戒网、小米、特斯拉、百度在线、腾讯、西贝餐饮集团、同仁堂健康、新东方、物美集团、好未来、富士康、理想汽车、快手、尚德机构……————————————————————期待您的垂询，点击右侧咨询即可联系专业营销顾问一对一服务！
57,三维动画制作产品场景室内机械工程建筑建模动画,服务内容全部包含:广告片、微电影、宣传片、专题片、纪录片、短视频、社交媒体视频、微课慕课、电商推广视频配音配乐、剪辑服务、场景搭建、画面校色、字幕添加、影视特效、片头片尾制作二维动画企业宣传、企业招聘、产品宣传、科普教育、工艺宣传、商业汇报、知识培训三维动画工程动画、机器动画、医学动画、系统原理动画、生产工艺动画、生产流程动画、影视动画、产品动画、城市漫游动画、建筑动画、展厅动画、裸眼3D、VR特效制服务优势:1.知名各行业龙头企业服务经验 2.主创团队来源于原央视纪录片频道3.南京师范大学新传院教授坐镇指导4.员工来源于国内知名艺术、传媒、戏剧类高校5.项目组群实时沟通，在线交流反馈6.流程化服务，严格把控进度与质量7.可联动电视广告播出及媒体宣传推广服务前需客户提供的信息:1.有关项目的文件文稿2.有关项目的图片视频素材资料3.对标参考样片及预期效果4.项目预算与制作周期需求5.使用场景及目标针对人群6.所在行业的其他特殊需求其他:工作流程：咨询沟通——顾问跟进——项目组成立——文案创作——分镜脚本——勘景拍摄——样片制作——意见反馈——后期调整——品控审核——交付成片——售后跟踪
58,3D工艺产品机械桥梁建模地产投标工程施工演绎演示三维动画,服务内容全部包含:【二维动画】 【三维动画】1、品牌推广 1、产品演示推广2、产品宣传 2、生产工艺3、活动开场 3、工业流程4、流程讲解 4、医疗设备5、政策科普 5、工程施工6、电商营销 6、片头演绎7、教育课件 7、机器机械演示服务优势:每个梦想，鼎力相助！ 易扬设计提供专业的动画设计，UI设计，游戏美术设计，品牌设计，空间设计，3D建模，产品外观设计。服务8年，服务企业超过1000家，秉承以互联网传播思维，切实为客户带来设计商业价值。 合作客户包含腾讯、中国石油、电网、交通银行、北京银行、深圳海关、中科院、同花顺、知识产权出版社、华润、华夏航空、海尔集团、吉比特、川仪股份等大中小企业。团队设计师平均5年以上工作经。服务前需客户提供的信息:1 提供产品或企业资料信息，后期用途。2 需要您明确视频需要做多长时间，几分钟；3 如果需要旁白/解说词，如果无法提供，可以简单提供解说文稿或我们根据您提供的资料进行撰写，也可以根据您提供的解说词进行润泽拔高；4 尺寸一般情况下高清尺寸，如果您有特殊要求，可以说明；5 初步沟通后，我们会专门为您列举该合作所需要的前期资料表发您。
59,插画风动画手绘逐帧动画软件APP动画企业宣传动画广告医疗,服务内容全部包含: 亦北品牌设计是一家集品牌全案设计，产品设计，室内设计，软件培训为一体的全案的设计公司，我们致力于0到1，从logo设计，包装设计，ip设计，线上线下宣传物料等多领域的研究与实践。为近千家企业提供了good的服务并得到一致好评。多年的设计积累了丰富的设计经验和电商行业运营的洞察力服务优势:亦北设计有限公司专业服务打造 very good的企业形象，从品牌设计到产品研发，以及产品包装，电商运营，室内设计，景观设计等综合服务为一体的设计企业，坚持高质量的设计，一站式服务携手客户成为品牌的创造者。我们站在市场的角度，根据企业的品牌战略，创造出具有市场价值的设计作品服务前需客户提供的信息:亦北设计针对合作过的客户，可以提供全年的设计任务，日常设计，作图中遇到的问题，免费解决。一次合作，就可以享受拥有自己设计公司的服务体验其他:您的满意才是我们前进的动力，我们对我们的设计师拥有绝对的信任，设计满意的前提下 修改，但是修改不是我们的目的，设计出好的作品，好的设计，才是我们共赢的前提，也是我们共同成长的目的。我们希望我们的客户都可以上市，只有我们的客户足够强大，那我们才能更好的发展
60,MG企业宣传医疗公益科普产品演绎AE二维创意广告动画制作,服务内容全部包含:每个梦想，鼎力相助！ 易扬设计提供专业的动画设计，影视制作，UI设计，游戏美术设计，空间设计，3D建模，产品外观设计，餐饮vi设计。服务8年，服务企业超过1000家，秉承以互联网传播思维切实为合作客户带来设计商业价值。服务优势:合作客户包含中国石油、电网、交通银行、北京银行、深圳海关、中科院、同花顺、知识产权出版社、华润、华夏航空、海尔集团、吉比特、川仪股份等大中小企业。团队设计师平均5年以上工作经验。服务前需客户提供的信息:提供原型或者文档描述，欣赏的参考风格。
