id,datas,url
22,三维3D动画产品工业演示设备建筑园林景观游戏角色设计制作,服务内容全部包含:咔嚓影视文化传媒有限公司（以下简称咔嚓影视）多年深耕于影视制作在重庆、成都、北京、上海等城市拥有自己的城市站及摄制团队，公司以内容创作为核心，集电影制作、TVC广告片、微电影、文案撰写、产品拍摄互动推广，影视后期制作，二维动画，三维动画），裸眼3D，展厅交互VR/AR于一体，秉承“高水准、高品位、高效率”服务理念，在众多视频拍摄及制作方面都获得了客户一致认可，并且业务范围涉及全国及海外。服务优势:1、项目经理全程与您1V1沟通，确保沟通环节通畅、传达及时。 2、根据您的业务需求组建专属与您的项目组团队。 3、开放式全流程溯源，确保把控精准的项目进度，高质量的完成服务，售后服务体系，任务交付零超期。 4、每个作品的相关数据都会为您保留，随时随地为您解决难题。5、专业的团队：团队成员均来自名校，有着丰富的制作经验和优秀的代表作品和服务背书，央视/世界500强/上市公司优质供应商。服务前需客户提供的信息:1 提供产品或企业资料信息，后期用途。2 需要您明确视频需要做多长时间，几分钟；3 如果需要旁白/解说词，如果无法提供，可以简单提供解说文稿或我们根据您提供的资料进行撰写，也可以根据您提供的解说词进行润泽拔高；4 尺寸一般情况下高清尺寸，如果您有特殊要求，可以说明；5 初步沟通后，我们会专门为您列举该合作所需要的前期资料表发您。其他:制作流程为：确认合作—建立项目组-创意策划-文案撰写-素材摄制-后期制作-交付样片-调整完善-品控审核-交付成片服务客户:华为、腾讯、万达、米哈游、小米、国家电网、中国移动、中国电信、中国航空、中国平安、太平洋、东风日产、新东方英语、现代汽车、大众汽车、荔枝FM、CCTV、京东宠物、百度、海尔集团、可口可乐、周六福珠宝等知名企业和政府单位，目前已成为上百家知名企业指定供应商，达成年度合作关系。
23,MG动画二维动画逐帧flash三维动画视频制作动画3D,服务内容全部包含:三维动画制作：3D产品宣传动画/虚拟IP动画/建筑动画/流程动画/特效动画/栏目包装/LOGO演绎二维动画制作：MG动画/逐帧动画/FLASH动画/AE包装动画/定格动画/LOGO演绎影视制作：企业宣传片/产品宣传片/TVC广告/短视频制作/纪录片/慕课制作展厅片源制作:VR动画/沉浸式折幕视频/全景视频/裸眼3D/全息投影/球幕/异形屏视频服务优势:云渊文化成立于2016年我们致力于将数码实拍+计算机3D技术服务到营销领域，帮助客户在线上线下创造更生动营销体验团队专注高端视频制作，拥有超过10000次服务经验与超过50家上市企业，事业机关单位形成良好的长期合作关系服务客户地域覆盖全中国及全球。我们专注于以创意助力商业，集三维动画、二维动画、文案撰写、平面设计互动推广于一体，为企业提供贯穿品牌全生命周期的“内容+传播”宣传方案。服务前需客户提供的信息:项目开始前会组织客户与我方相关人员一起参与需求沟通会以及相关企业内容或产品内容的培训会议，充分理解完客户需求后，需要客户再次提供相关宣传内容的图文资料（资料包含但不限于：公司介绍PPT/公司官方网站链接/产品推介PPT/企业logo/企业vi手册/产品图片模型文件/邮寄产品实物等）以及会涉及到的相关产品数据。其他:物料提供如您有文案、解说词或者脚本请将文档发于项目经理，我们会有专业的策划老师进行评估工作。图片、视频素材等资料，请将素材命名标注并归纳到相应的文件夹中，方便我方后期同事进行素材挑选。如有企业的V1规范或者l0go请将AL、CDR等源文件发送于我们。在我们接到素材后发现某些素材的质量分辨率低，模糊。我方建议不使用该类素材，避免影响最终成品效果。
24,二维动画宣传MG企业产品动漫flash科普课件设计定制作,服务内容全部包含:咔嚓影视文化传媒有限公司（以下简称咔嚓影视）多年深耕于影视制作在重庆、成都、北京、上海等城市拥有自己的城市站及摄制团队，公司以内容创作为核心，集电影制作、TVC广告片、微电影、文案撰写、产品拍摄互动推广，影视后期制作，二维动画，三维动画），裸眼3D，展厅交互VR/AR于一体，秉承“高水准、高品位、高效率”服务理念，在众多视频拍摄及制作方面都获得了客户一致认可，并且业务范围涉及全国及海外。1、项服务优势:1、项目经理全程与您1V1沟通，确保沟通环节通畅、传达及时。 2、根据您的业务需求组建专属与您的项目组团队。 3、开放式全流程溯源，确保把控精准的项目进度，高质量的完成服务，售后服务体系，任务交付零超期。 4、每个作品的相关数据都会为您保留，随时随地为您解决难题。5、专业的团队：团队成员均来自名校，有着丰富的制作经验和优秀的代表作品和服务背书，央视/世界500强/上市公司优质供应商。服务前需客户提供的信息:1 提供产品或企业资料信息，后期用途。2 需要您明确视频需要做多长时间，几分钟；3 如果需要旁白/解说词，如果无法提供，可以简单提供解说文稿或我们根据您提供的资料进行撰写，也可以根据您提供的解说词进行润泽拔高；4 尺寸一般情况下高清尺寸，如果您有特殊要求，可以说明；5 初步沟通后，我们会专门为您列举该合作所需要的前期资料表发您。其他:制作流程为：确认合作—建立项目组-创意策划-文案撰写-素材摄制-后期制作-交付样片-调整完善-品控审核-交付成片服务客户:华为、腾讯、万达、米哈游、小米、国家电网、中国移动、中国电信、中国航空、中国平安、太平洋、东风日产、新东方英语、现代汽车、大众汽车、荔枝FM、CCTV、京东宠物、百度、海尔集团、可口可乐、周六福珠宝等知名企业和政府单位，目前已成为上百家知名企业指定供应商，达成年度合作关系。
25,二维AE手绘MG三维3D企业产品动画制作动漫年会动画设计,服务内容全部包含:小二郎文化传媒旗下拥有“ 品牌策划运营”“影视拍摄制作”“动画动漫创作” “美术视觉设计“四大业务板块，共计7大类超过50项产品服务，为企业提供贯穿品牌宣传推广全生命周期的内容制作解决方案。我们的客户遍布全球数十个国家和地区，覆盖超过30个细分行业领域，9000＋服务经验，现已服务包括腾讯、阿里、华为、海尔、万达集团等200多家上市企业，40多家世界500强。我们的客服24小时在线，欢迎咨询~服务优势:1.品牌：上市公司供应商2.口碑：3000＋99%满意度3.服务：提供完善的售后服务体系4.硬件：电影级影视制作全套设备5.创意：构建创意星球社区，集合2000＋创意方案6.模式：“影视＋中央厨房”创作系统7.标准：打造工业化、数字化的15项标准制作流程8.文化：记录中国非遗文化，传播中华民族精神内核服务前需客户提供的信息:客户需要提供动画的ip形象、场景、动画时长等基础信息、基础文案内容、参考风格类型、案例视频基础文案内容、参考风格类型、案例视频，最好提供清晰的动画预算、我们可以根据不同的风格类型进行最大化的发挥，达到客户想要的效果。客户需要提供动画的ip形象、场景、动画时长等基础信息、基础文案内容、参考风格类型、案例视频基础文案内容、参考风格类型、案例视频，最好提供清晰的动画预算、我们可以根据不同的风格类型进行最其他:服务流程：需求沟通-确定商务合作-托管赏金-建立项目组-创意策划-文案撰写-素材摄制-后期制作-交付样片-调整完善-品控审核-交付成片
26,宣传片产品三维动画MG动画3d动画二维动画制作三维设计,服务内容全部包含:三维动画制作：3D产品宣传动画/虚拟IP动画/建筑动画/流程动画/特效动画/栏目包装/LOGO演绎二维动画制作：MG动画/逐帧动画/FLASH动画/AE包装动画/定格动画/LOGO演绎影视制作：企业宣传片/产品宣传片/TVC广告/短视频制作/纪录片/慕课制作展厅片源制作:VR动画/沉浸式折幕视频/全景视频/裸眼3D/全息投影/球幕/异形屏视频服务优势:云渊文化成立于2016年我们致力于将数码实拍+计算机3D技术服务到营销领域，帮助客户在线上线下创造更生动营销体验团队专注高端视频制作，拥有超过10000次服务经验与超过50家上市企业，事业机关单位形成良好的长期合作关系服务客户地域覆盖全中国及全球。我们专注于以创意助力商业，集三维动画、二维动画、文案撰写、平面设计互动推广于一体，为企业提供贯穿品牌全生命周期的“内容+传播”宣传方案。服务前需客户提供的信息:项目开始前会组织客户与我方相关人员一起参与需求沟通会以及相关企业内容或产品内容的培训会议，充分理解完客户需求后，需要客户再次提供相关宣传内容的图文资料（资料包含但不限于：公司介绍PPT/公司官方网站链接/产品推介PPT/企业logo/企业vi手册/产品图片模型文件/邮寄产品实物等）以及会涉及到的相关产品数据。其他:物料提供如您有文案、解说词或者脚本请将文档发于项目经理，我们会有专业的策划老师进行评估工作。图片、视频素材等资料，请将素材命名标注并归纳到相应的文件夹中，方便我方后期同事进行素材挑选。如有企业的V1规范或者l0go请将AL、CDR等源文件发送于我们。在我们接到素材后发现某些素材的质量分辨率低，模糊。我方建议不使用该类素材，避免影响最终成品效果。
27,抖音短视频虚拟主播偶像二次元3D数字人动态直播特效开发,服务内容全部包含:抖音虚拟主播ai生成人工智能数字虚拟元宇宙短视频抖音3D虚拟主播虚拟主播偶像二次元数字人数字人动态捕捉直播特效开发服务优势:1、10余年行业经验，专属定制化服务2、标准化技术管理，人员分工明确，源码文件全部提供3、根据客户需求提供定制化的游戏开发服务，产品开发无忧4、各种大型企业案例，上千款成熟案例供您选择，涉及各行业5、技术积累，Java、python、C、C++、PHP等10余种主流语言6、实体线下公司40+专业技术团队，项目经理一对一服务，专职需求分析师免费出落地方案服务前需客户提供的信息:具体内容沟通请联系我们：手机登录用户：点击下方【立即咨询】电脑登录用户：点击右侧【电话联系】【微信咨询】【在线咨询】均可咨询免费获取需求分析师一对一专属定制方案，项目经理一对一解决您提出的技术问题其他:万创是一家致力于移动互联网软件技术开发的公司，为您提供高端管理系统软件，游戏开发、APP开发，小程序定制，高品质网站设计等服务，目前公司拥有40余名国内优秀有经验的研发工程师，并且拥有丰富的成功案例和行业经验，我们将与您面对面沟通需求，原型对接清晰直观，项目经理一对一服务，专职需求分析师免费出落地方案，个性化定制，从不套模板，确保高品质软件交付，为客户创造优质软件体验。
28,二维动画设计mgFlash飞碟说逐帧软件手绘宣传动画制作,服务内容全部包含:优恳科技有限公司是一家致力于，UI设计，游戏美术，网站与移动互联网应用产品开发的综合创新型公司，优恳团队成立于07年，优恳在八戒平台运营14年，凭借实力连续多年获奖，优恳为国内企业如中国电信，腾讯，三星电子，施耐德，国家电网等长期服务。优恳分工明确，有完整成熟科学的设计、研发、售后服务体系，我们在实践中不断学习探索，时刻与行业前沿技术同步，为客户打造高水平的服务是我们的宗旨。服务优势:优恳秉承体验设计与服务设计的理念，交付高质量ui视觉服务：❶ 移动端ui设计 ❷软件界面设计 ❸游戏ui设计 ❹ 网页设计 ❺产品策划与咨询业务咨询通过右侧：✔在线IM.✔隐私电话，✔企业微信 ，免费咨询，诚挚期待与您合作。项目完结提交内容（根据项目需求而定）：❶ 整体ui界面设计效果图❷png切图或蓝湖上传❸psd，Sketch、Figma（其中之一）优恳诚挚期待与您合作！服务前需客户提供的信息:1.整体需求介绍和描述，方便我们了解项目背景行业基本的信息，方便快速准确分析理解需求。2.提供需求文档，版本框架，需求策划，同类型参考案例，交互原型，手绘草图等。3.提供相关的资料，如vi系统，产品相关宣传册，宣传视频，照片图片资料，3d模型等以上为列出的需求资料，按照客户情况，尽可能能多提供，会提高沟通效率，降低沟通成本，得到准确的价格时间，或者初步的方案方向。其他:提醒：其他客户关心问题请查阅下面【常见问题】！
29,动画制作MG动画flash动画二维三维AE手绘动漫设计,服务内容全部包含:匠派品牌营销策划，匠派人一直是梦想品牌的打造者，10年来专注于品牌设计领域，擅长品牌策划、品牌设计、品牌营销全套品牌营销策划服务。服务优势:曾服务过五粮液、竹叶青、小龙坎、全友、百威、小米、苏宁、中国电信、国家电网、延长石油、德力西集团、梦陇酒庄等国内外品牌。服务前需客户提供的信息:根据项目请咨询我们，匠派团队创建于2013年9月，是一家专业的品牌设计机构，服务客户超50000家，累计完成品牌项目19万个。
30,产品动画三维医学医疗机械原理施工演示演绎3d视频CG制作,服务内容全部包含:【二维动画】 【三维动画】1、品牌推广 1、产品演示推广2、产品宣传 2、生产工艺3、活动开场 3、工业流程4、流程讲解 4、医疗设备5、政策科普 5、工程施工6、电商营销 6、片头演绎7、教育课件 7、机器机械演示服务优势:每个梦想，鼎力相助！ 易扬设计提供专业的动画设计，UI设计，游戏美术设计，品牌设计，空间设计，3D建模，产品外观设计。服务8年，服务企业超过1000家，秉承以互联网传播思维，切实为客户带来设计商业价值。 合作客户包含腾讯、中国石油、电网、交通银行、北京银行、深圳海关、中科院、同花顺、知识产权出版社、华润、华夏航空、海尔集团、吉比特、川仪股份等大中小企业。团队设计师平均5年以上工作经。服务前需客户提供的信息:1 提供产品或企业资料信息，后期用途。2 需要您明确视频需要做多长时间，几分钟；3 如果需要旁白/解说词，如果无法提供，可以简单提供解说文稿或我们根据您提供的资料进行撰写，也可以根据您提供的解说词进行润泽拔高；4 尺寸一般情况下高清尺寸，如果您有特殊要求，可以说明；5 初步沟通后，我们会专门为您列举该合作所需要的前期资料表发您。
31,宣传片影视制作三维动画MG/AE二维后期视频剪辑抖音配音,服务内容全部包含:【二维动画】|【影视制作】 | 【三维动画】1、品牌推广 | 1、企业宣传 | 1、产品推广2、产品宣传 | 2、产品广告 | 2、品牌形象3、活动开场 | 3、政府汇报 | 3、工业流程4、流程讲解 | 4、专题记录 | 4、医疗设备5、政策科普 | 5、活动暖场 | 5、游戏动作6、电商营销 | 6、品牌形象 | 6、片头演绎7、教育课件 | 7、剪辑合成 | 7、展厅折幕服务优势:【七大优势】1看经验：上百种风格可选，各行均有企业案例2看团队：成员均科班毕业，实战超百余项目3看标准：电影级制作标准，一条龙服务流程4看服务：项目组实时沟通，有疑问高效回复5看速度：多团队并驾齐驱，把控进度更高效6选创意：三种方案供选择，头脑风暴更简单7选声誉：十五年服务经验，猪八戒网可追溯服务前需客户提供的信息:★前期沟通所需资料★【1提供项目的相关文档】【2有解说词提供解说词】 （没有解说词我们提供策划方案）【3使用场景及针对人群】【4对标参考样片及预期】【5领导要求及期望效果】★备注★因广告宣传属于定制化方案，各行业之间所需资料大不相同，具体可联系本店客服进一步咨询，我们将为您提供多样化服务。其他:★友情提示★1、政府、公益、地产、医疗行业等各行各业皆有对应案例；2、所有提到的品牌均有真实案例；
32,MG二维动画三维AE手绘动漫形象设计企业产品宣传视频制作,服务内容全部包含:海象于2012年正式组建，以重庆为总部，拥有影视品牌全案中心。企业员工毕业于浙江传媒大学、重庆大学，西南政法大学，重庆邮电大学、吉林动画大学等国内外学府。旗下拥有“品牌运营”“影视制作”“动画动漫”“视觉设计”四大事业部，共计7大类超过50项产品服务。我们的客户遍布全球数十个国家和地区，现已服务包括腾讯、阿里、华为、海尔、万达集团等200多家上市企业。服务优势:1.品牌：上市公司供应商2.口碑：3000＋99%满意度3.服务：提供完善的售后服务体系4.硬件：电影级影视制作全套设备5.创意：构建创意星球社区，集合2000＋创意方案6.模式：“影视＋中央厨房”创作系统7.标准：打造工业化、数字化的15项标准制作流程8.文化：记录中国非遗文化，传播中华民族精神内核服务前需客户提供的信息:客户需求描述和具体要求，动画风格、时长、规格、使用场景、以及预算等。客户需求描述和具体要求，动画风格、时长、规格、使用场景、以及预算等。其他:服务流程：需求沟通-确定商务合作-托管赏金-建立项目组-创意策划-文案撰写-素材摄制-后期制作-交付样片-调整完善-品控审核-交付成片
33,3D产品机械建筑模器械生产线原理医学演绎演示三维动画视频,服务内容全部包含:【二维动画】 【三维动画】1、品牌推广 1、产品演示推广2、产品宣传 2、生产工艺3、活动开场 3、工业流程4、流程讲解 4、医疗设备5、政策科普 5、工程施工6、电商营销 6、片头演绎7、教育课件 7、机器机械演示服务优势:每个梦想，鼎力相助！ 易扬设计提供专业的动画设计，UI设计，游戏美术设计，品牌设计，空间设计，3D建模，产品外观设计。服务8年，服务企业超过1000家，秉承以互联网传播思维，切实为客户带来设计商业价值。 合作客户包含腾讯、中国石油、电网、交通银行、北京银行、深圳海关、中科院、同花顺、知识产权出版社、华润、华夏航空、海尔集团、吉比特、川仪股份等大中小企业。团队设计师平均5年以上工作经。服务前需客户提供的信息:1 提供产品或企业资料信息，后期用途。2 需要您明确视频需要做多长时间，几分钟；3 如果需要旁白/解说词，如果无法提供，可以简单提供解说文稿或我们根据您提供的资料进行撰写，也可以根据您提供的解说词进行润泽拔高；4 尺寸一般情况下高清尺寸，如果您有特殊要求，可以说明；5 初步沟通后，我们会专门为您列举该合作所需要的前期资料表发您。
34,mg动画制作flash二维动画设计手绘动画视频制作宣传片,服务内容全部包含:【二维动画】|【影视制作】 | 【三维动画】1、品牌推广 | 1、企业宣传 | 1、产品推广2、产品宣传 | 2、产品广告 | 2、品牌形象3、活动开场 | 3、政府汇报 | 3、工业流程4、流程讲解 | 4、专题记录 | 4、医疗设备5、政策科普 | 5、活动暖场 | 5、片头演绎6、教育课件 |6、剪辑合成 | 6、展厅折幕服务优势:公司介绍：观今动漫从事动画设计十余年有着丰富的动画设计经验和不计其数优秀的动画作品；我们的员工均科班毕业，人均实战超百余项目；我们服务过的客户超30000余位，服务过的城市超300余个。我们已与滴滴、腾讯、爱奇艺、大众点评、中国移动、中国建设银行、中国银行、中国邮政、中国平安、携程旅游、大众点评、顺丰速递、周大福珠宝等客户达成深度合作。服务前需客户提供的信息:【1提供项目制作需要的相关文档】【2有文案解说词提供文案解说词】 【3改动画使用的场景及针对人群】【4项目的对标参考样片及预期】【5领导要求及期望效果】【注意】因广告宣传属于定制化方案，各行业之间所需资料大不相同，具体可联系本店客服进一步咨询其他:合作流程：前期需求沟通-确定商务合作-托管赏金-建立项目组-创意策划-文案撰写-分镜制作\动画小样-动画制作-交付样片-调整完善-品控审核-交付成片
35,游戏制作3DUNITY游戏开发APP手游H5网页制作游戏,服务内容全部包含:H5游戏、APP游戏、网页游戏、PC游戏、3D游戏、区块链游戏、元宇宙游戏、小程序游戏、体感游戏、VR/AR游戏、动作游戏、冒险游戏、射击游戏、角色扮演游戏（RPG）、策略游戏、模拟游戏、体育游戏、多人在线游戏（MMO）、益智游戏、游戏美术、3D游戏建模、软件开发等服务优势:定制化解决方案：深入了解客户独特需求，根据其目标和预算提供游戏定制化方案多平台兼容：具备跨多平台开发能力，包括PC、掌机、移动设备等技术专长：拥有一支经验丰富的团队，掌握游戏开发的最新技术和工具创造力和创新：为客户带来独特而受欢迎的游戏体验质量保征和测试：实施严格的质量保征措施，包括代码审查、单元测试、综合测试和用户测试项目管理和沟通：配备经验丰富的项目经理，负责协调和管理整个开发过程服务前需客户提供的信息:具体内容沟通请联系我们：手机登录用户：点击下方【立即咨询】电脑登录用户：点击右侧【电话联系】【微信咨询】【在线咨询】均可其他:服务流程：需求沟通—需求评估—项目立项—产品规划—UI设计—程序开发—质量审核—验收交付—部署上线—后期维护
36,二三维动画制作3d动画mg动画教育科普动画宣传片制作,服务内容全部包含:服务范围：产品动画、角色动画、建筑动画、工业动画、全息裸眼3D等服务优势：1、高效设计：全流程为您保证设计服务2、量身定制：针对您的需求进行设计，符合你的设计要求价格说明：1、我们有各种价位的案例可供选择，满足您的各种预期2、我们致力于提供性价比高的设计服务服务优势:公司介绍：观今动漫从事动画设计十余年有着丰富的动画设计经验和不计其数优秀的动画作品；我们的员工均科班毕业，人均实战超百余项目；我们服务过的客户超30000余位，服务过的城市超300余个。我们已与滴滴、腾讯、爱奇艺、大众点评、中国移动、中国建设银行、中国银行、中国邮政、中国平安、携程旅游、大众点评、顺丰速递、周大福珠宝等客户达成深度合作。服务前需客户提供的信息:【1提供项目制作需要的相关文档】【2有文案解说词提供文案解说词】【3改动画使用的场景及针对人群】【4项目的对标参考样片及预期】【5领导要求及期望效果】【注意】因广告宣传属于定制化方案，各行业之间所需资料大不相同，具体可联系本店客服进一步咨询其他:合作流程：前期需求沟通-确定商务合作-托管赏金-建立项目组-创意策划-文案撰写-分镜制作\动画小样-动画制作-交付样片-调整完善-品控审核-交付成片
37,制作游戏3D游戏开发APP游戏UNITYH5网页游戏制作,服务内容全部包含:H5游戏、APP游戏、网页游戏、PC游戏、3D游戏、区块链游戏、元宇宙游戏、小程序游戏、体感游戏、VR/AR游戏、动作游戏、冒险游戏、射击游戏、角色扮演游戏（RPG）、策略游戏、模拟游戏、体育游戏、多人在线游戏（MMO）、益智游戏、游戏美术、3D游戏建模、软件开发等服务优势:定制化解决方案：深入了解客户独特需求，根据其目标和预算提供游戏定制化方案多平台兼容：具备跨多平台开发能力，包括PC、掌机、移动设备等技术专长：拥有一支经验丰富的团队，掌握游戏开发的最新技术和工具创造力和创新：为客户带来独特而受欢迎的游戏体验质量保征和测试：实施严格的质量保征措施，包括代码审查、单元测试、综合测试和用户测试项目管理和沟通：配备经验丰富的项目经理，负责协调和管理整个开发过程服务前需客户提供的信息:具体内容沟通请联系我们：手机登录用户：点击下方【立即咨询】电脑登录用户：点击右侧【电话联系】【微信咨询】【在线咨询】均可其他:服务流程：需求沟通—需求评估—项目立项—产品规划—UI设计—程序开发—质量审核—验收交付—部署上线—后期维护
38,二维AE三维MG3D动画宣传片拍摄剪辑定制企业产品牌视频,服务内容全部包含:亦北品牌设计是一家集品牌全案设计，产品设计，室内设计，软件培训为一体的全案的设计公司，我们致力于0到1，从logo设计，包装设计，ip设计，线上线下宣传物料等多领域的研究与实践。为近千家企业提供了good的服务并得到一致好评。多年的设计积累了丰富的设计经验和电商行业运营的洞察力。 公司坚持“用心创造价值”的理念，结合客户的需求，从good的服务和完美的质量出发，不断探索，不断实践，追求 very good，我们始终坚持用设计为客户解决问题，用设计为客户创造出品牌价值和商业价值。我们的服务范围：亦北设计有限公司专业服务打造 very good的企业形象，从品牌设计到产品研发，以及产品包装，电商运营，室内设计，景观设计等综合服务为一体的设计企业，坚持高质量的设计，一站式服务携手客户成为品牌的创造者。我们站在市场的角度，根据企业的品牌战略，创造出具有市场价值的设计作品。如果您也和我们一样，拥有把产品做到极致的“用心创造价值”的心态，拥有开创 very good品牌的心态，就来找我们，我们会竭尽全力为您创造属于您和您品牌的辉煌。我们的价格不一定是最低的，但是我们敢确保我们的服务态度和作品的质量是棒棒的，亦北设计相信今天的合作，就是明天你我的共赢！亦北设计针对合作过的客户，可以提供全年的设计任务，日常设计，作图中遇到的问题，免费解决。一次合作，就可以享受拥有自己设计公司的服务体验
39,漫画设计四格连载儿童绘本教材卡通手绘肖像插画杂志,服务内容全部包含:✿东莞市合否品牌营销公司——合否HOFOPE 定义数字化品牌创意服务机构，线下实体办公场地2000m²，在职人员70人，专注视觉设计+自媒体经营7年，为泰康、联想、伊利、天猫精灵等，品牌提供年框设计服务，2022年成为上市公司星河生物（盈康生命)指定全营销服务商，并共同成立理叶洲品牌。服务优势:视觉设计板块：包装、详情页、首页、画册、产品视频、企业宣传片、logo、海报、渲染图、三维动画、mg动画、产品摄影图、A+页面、三维渲染图、ip形象吉祥物、品牌vis、品牌全案等。自媒体推广板块：直播服务、自媒体代运营、网红达人推广服务设计技术岗位包含：平面、插画、摄影、三维、剪辑、文案、策划、运营、直播等产业投资：对于优质的项目，我们也愿意一起参与进去，技术入股、资金入股服务前需客户提供的信息:✿核心视觉设计师50+✿品牌营销增值服务1500+✿品牌合作企业600+✿交付稿件300w+✿旗下达人数量300+✿摄影师10+其他:合否品牌营销，为您的生意添砖加瓦，更上一层楼。全天待机随时解答您的疑惑，点击右侧与项目经理进行在线一对一沟通解答！
40,AE/MG三维动画宣传片影视制作产品动画视频剪辑配音淘宝,服务内容全部包含:【二维动画】|【影视制作】 | 【三维动画】1、品牌推广 | 1、企业宣传 | 1、产品推广2、产品宣传 | 2、产品广告 | 2、品牌形象3、活动开场 | 3、政府汇报 | 3、工业流程4、流程讲解 | 4、专题记录 | 4、医疗设备5、政策科普 | 5、活动暖场 | 5、游戏动作6、电商营销 | 6、品牌形象 | 6、片头演绎7、教育课件 | 7、剪辑合成 | 7、展厅折幕服务优势:【七大优势】1看经验：上百种风格可选，各行均有企业案例2看团队：成员均科班毕业，实战超百余项目3看标准：电影级制作标准，一条龙服务流程4看服务：项目组实时沟通，有疑问高效回复5看速度：多团队并驾齐驱，把控进度更高效6选创意：三种方案供选择，头脑风暴更简单7选声誉：十五年服务经验，猪八戒网可追溯服务前需客户提供的信息:★前期沟通所需资料★【1提供项目的相关文档】【2有解说词提供解说词】 （没有解说词我们提供策划方案）【3使用场景及针对人群】【4对标参考样片及预期】【5领导要求及期望效果】★备注★因广告宣传属于定制化方案，各行业之间所需资料大不相同，具体可联系本店客服进一步咨询，我们将为您提供多样化服务。其他:★友情提示★1、政府、公益、地产、医疗行业等各行各业皆有对应案例；2、所有提到的品牌均有真实案例；
41,二维AE三维3D建模特效动画设计制作片头产品演示流程,服务内容全部包含:海象于2012年正式组建，以重庆为总部，拥有影视品牌全案中心。企业员工毕业于浙江传媒大学、重庆大学，西南政法大学，重庆邮电大学、吉林动画大学等国内外学府。旗下拥有“品牌运营”“影视制作”“动画动漫”“视觉设计”四大事业部，共计7大类超过50项产品服务。我们的客户遍布全球数十个国家和地区，现已服务包括腾讯、阿里、华为、海尔、万达集团等200多家上市企业。服务优势:1.品牌：上市公司供应商2.口碑：3000＋99%满意度3.服务：提供完善的售后服务体系4.硬件：电影级影视制作全套设备5.创意：构建创意星球社区，集合2000＋创意方案6.模式：“影视＋中央厨房”创作系统7.标准：打造工业化、数字化的15项标准制作流程8.文化：记录中国非遗文化，传播中华民族精神内核服务前需客户提供的信息:客户相关资料和信息其他:服务流程：需求沟通-确定商务合作-托管赏金-建立项目组-创意策划-文案撰写-素材摄制-后期制作-交付样片-调整完善-品控审核-交付成片
42,三维动画制作动画制作动漫游戏设计房地产政府工业汽车旅游博,服务内容全部包含:湾流视觉作为全国性的专业数字视觉综合服务供应商，立足于视觉科技与应用行业，专注于CG应用领域，以创意为核心、市场需求为导向，主要利用计算机图形图像技术进行视觉设计和创作，将CG技术与艺术相结合，依托长期积累的技术实力和前瞻性的创意设计能力，为建筑、设计、展馆、广告、动漫、影视、文体娱乐活动等行业的客户提供涵盖CG静态、CG动态、CG视觉场景业务的数字视觉综合服务。———————————————服务优势:湾流视觉拥有多年影视后期和三维动画制作经验，是一家集视频创意、策划、制作、传播 全流程统筹于一身的全案服务公司；公司旗下拥有上千人组成的富有才干和创 新思想的zhuan业团队，迄今已为150多所国内外设计院/公司、中国地产bai强企业、国内众多知名品牌提供定制化三维动画制作服务。服务前需客户提供的信息:公司植根于文化、文博、影视领域，一方面以影视技术为手段，为CCTV等各级媒体、企事业单位、政府部门制作纪录片、宣传片、微电影、短视频、动漫、广告等专业视频内容。 一方面以文化为底蕴，为各级博物院、考古所等科研单位制作纪录片、科普动漫片，策划设计展览空间、科普绘本、文创衍生品等。其他:服务客户：作业帮、博彦科技、今日头条、高途、绫致时装、联想（北京）、猪八戒网、小米、特斯拉、百度在线、腾讯、西贝餐饮集团、同仁堂健康、新东方、物美集团、好未来、富士康、理想汽车、快手、尚德机构……
43,二维MG手绘Flash插画AE科普动画制作动漫设计,服务内容全部包含:详情请咨询右侧在线客服服务优势:工匠模式下的ToB动画设计服务体系，保证终端消化，不外包！ 从表象的制作流程到内在的思维框架~快速兑现传播效果~助甲方解决问题11年经验 每年1000+分钟动画制作量 真实有效案例 服务 CCTV 奥迪 联想 中国移动 新浪 民生银行 蚂蚁金服 光大银行服务前需客户提供的信息:满意的对标案例 时长 画面尺寸 工期 投放渠道用途
